WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha)
65,32.2,495.38
64.6,35.6,551.08
63.3,39,616.11
70,41.4,591.43
67.2,29.4,437.5
75.5,37.3,494.04
72.5,29.7,409.66
70.1,31.9,455.06
63,28.1,446.03
73,60.3,826.03
71.8,89.5,1246.52
80.6,123.1,1527.3
82.7,101.9,1232.16
85.7,120,1400.23
67,95,1417.91
80,103,1287.5
78.6,110.3,1403.31
65.1,86.8,1333.33
81.2,137,1687.19
56.5,58.5,1035.4
55.6,90.9,1634.89
77.6,152.2,1961.34
91.4,201.8,2207.88
85.7,134.7,1571.76
88.2,158.1,1792.52
90.4,86.7,959.07
102.4,175.4,1712.89
104.2,272.7,2617.08
61.5,92.9,1510.57
59.8,84.9,1419.73
71.4,105.1,1471.99
84.2,170.2,2021.38
84.26,145.57,1727.63
91.94,139.56,1517.95
105.95,198.97,1877.96
110.7,223.4,2018.07
82.8,175.2,2115.94
111.1,425.2,3827.18
114.5,388.9,3396.51
122.1,278.84,2283.7
138.57,438.74,3166.2
146.14,332.52,2275.35
155,455,2935.48
165,636,3854.55
179,578,3229.05
181,619.2,3420.99
24,14,583.33
37,25,675.68
44.9,38,846.33
46.2,39.9,863.64
51.3,52,1013.65
44.5,40.2,903.37
41.7,39.8,954.44
39.6,41.4,1045.45
37.6,48.4,1287.23
40.3,41.7,1034.74
39.2,38.8,989.8
40,33.1,827.5
41,45.1,1100
36.4,22.5,618.13
35.4,46.5,1313.56
34.7,61.5,1772.33
36.2,53.9,1488.95
38.7,53.2,1374.68
41,68.4,1668.29
39.4,63.2,1604.06
38,63,1657.89
43,71,1651.16
45.3,83.2,1836.64
46.2,80.2,1735.93
52.1,112.9,2166.99
54,134.5,2490.74
56.9,146.1,2567.66
62,161.6,2606.45
62.5,181.8,2908.8
60.4,160.5,2657.28
59.6,176.8,2966.44
88.4,120.3,1360.86
90.4,163.3,1806.42
81.5,259.4,3182.82
77.3,252.8,3270.38
67.7,216.4,3196.46
62.5,170.6,2729.6
60.5,181.7,3003.31
59.19,168.94,2854.2
54.52,161.66,2965.15
53.07,151.93,2862.82
55,157.5,2863.64
62.3,189.7,3044.94
65.1,169.4,2602.15
68.8,226.9,3297.96
63.6,253.2,3981.13
82,240.82,2936.83
93.17,198.02,2125.36
94,305,3244.68
95,388,4084.21
100,404,4040
92,320.71,3485.98
63,29,460.32
72,28,388.89
87.9,38,432.31
90.3,35.4,392.03
87.5,33.6,384
86.7,37.3,430.22
79.4,40.2,506.3
67.9,25.8,379.97
63.4,36.1,569.4
71.6,37.2,519.55
67.1,18.9,281.67
79.7,21.3,267.25
81.3,40,492
75.1,28.6,380.83
77.6,33.4,430.41
78.2,42.7,546.04
78.4,34.8,443.88
83.4,62.5,749.4
81.3,39.2,482.16
83.9,45.7,544.7
76,45,592.11
80,44,550
80.9,41.2,509.27
83.1,51.1,614.92
88.1,58.8,667.42
50.9,29.1,571.71
58.9,38.8,658.74
82,71.7,874.39
94.8,84.2,888.19
83.7,72.3,863.8
87.9,76.8,873.72
91.2,40.3,441.89
94.5,71.4,755.56
104.6,95,908.22
85.5,52.1,609.36
95.7,83.1,868.34
96.5,78.8,816.58
98.7,93.1,943.26
93,77.7,835.48
103.03,91.15,884.69
104.72,101.31,967.44
110.5,93.4,845.25
103.1,90.1,873.91
108.8,90.5,831.8
111.7,102.1,914.06
115.6,127.5,1102.94
132.11,374.26,2832.94
153.28,346.04,2257.57
99,286,2888.89
115,277,2408.7
151,445,2947.02
200.72,523.88,2610
30,11,366.67
51,34,666.67
53.7,39,726.26
56.1,33.6,598.93
57,48.4,849.12
62.4,50.1,802.88
64.2,48.5,755.45
69.3,48.6,701.3
69.6,57.6,827.59
72.1,53.7,744.8
54.7,21.8,398.54
73.6,50.7,688.86
90.4,74.3,821.9
54.5,22.4,411.01
78.6,63.4,806.62
78.9,70.6,894.8
78.9,46,583.02
85.1,65.4,768.51
58.7,44.5,758.09
84.5,45.2,534.91
82,63,768.29
99,81,818.18
76.9,41.2,535.76
67.8,56,825.96
85,63.7,749.41
64.7,33.6,519.32
66.1,38.6,583.96
78.9,73,925.22
83.9,75.5,899.88
84.4,59.1,700.24
84.6,63.4,749.41
76.9,27.1,352.41
124.13,64,515.59
86.9,61.6,708.86
56.1,21.9,390.37
67.9,49.8,733.43
62.1,39.6,637.68
65,48.7,749.23
62.8,50.65,806.53
62.66,44.85,715.77
63.47,44.02,693.56
58.8,40.2,683.67
60,46,766.67
61.5,42.1,684.55
45.2,32.7,723.45
68,51.3,754.41
71.01,115.32,1624
74.83,127.02,1697.45
143,198,1384.62
90,173,1922.22
98,270,2755.1
90,228,2533.33
209,68,325.36
218,157,720.18
254.6,162,636.29
273.2,159.7,584.55
270.5,172.4,637.34
275,221.5,805.45
273.1,185.1,677.77
246.6,188.2,763.18
219.7,172.3,784.25
251.5,197.7,786.08
247.4,131.4,531.12
261.5,209.9,802.68
271.6,227.1,836.16
217.6,175.3,805.61
228.2,154.2,675.72
242.2,235.6,972.75
249.7,232.7,931.92
263.2,238.2,905.02
266.6,194.7,730.31
267.5,246.3,920.75
233,164,703.86
247,247,1000
251.1,157.7,628.04
249,197.9,794.78
240.6,239.5,995.43
238.1,192.5,808.48
238,215.3,904.62
240.9,260.2,1080.12
229.4,245.3,1069.31
217.6,251.3,1154.87
256.2,300.1,1171.35
232.8,241.1,1035.65
262.1,328.1,1251.81
228.6,264.9,1158.79
200.6,155.2,773.68
190,205.7,1082.63
140.7,115.1,818.05
161.8,183.7,1135.35
163.78,173.09,1056.84
163.78,174.65,1066.37
163.7,172.58,1054.25
139.6,131.8,944.13
150.1,188.2,1253.83
173,244.5,1413.29
172.5,186.5,1081.16
199.8,295.1,1476.98
213.45,449.7,2106.82
228.79,425.35,1859.13
185,394,2129.73
158,346,2189.87
202,557,2757.43
278,893.21,3212.99
76,30,394.74
101,83,821.78
119.7,87,726.82
128.2,99.7,777.69
131.9,76.2,577.71
133.8,95.6,714.5
123.3,82.4,668.29
104.7,79,754.54
92.6,58,626.35
111.9,97,866.85
103.6,59.7,576.25
107,70.7,660.75
108.7,96.5,887.76
100.8,46.1,457.34
103.5,74.3,717.87
97.8,91.7,937.63
97.8,85.2,871.17
102.8,106.1,1032.1
97.6,69.6,713.11
99.9,79.1,791.79
82,72,878.05
95,90,947.37
94.4,71,752.12
90,79.9,887.78
94,95.6,1017.02
87.1,82.2,943.74
90.4,108,1194.69
94.3,137.2,1454.93
87.3,129.6,1484.54
88,123.7,1405.68
98.8,126.9,1284.41
100.9,131.7,1305.25
96.1,130.9,1362.12
99.8,147.5,1477.96
86.1,89.2,1036
79.8,113.2,1418.55
57.9,77.1,1331.61
65.3,96.6,1479.33
67.62,97.85,1447.06
68.96,102.84,1491.3
69.62,88.41,1269.89
63.1,99.8,1581.62
67,131.8,1967.16
72.1,136.3,1890.43
71.8,171.4,2387.19
79.9,197,2465.58
82.43,167.97,2037.73
88.62,164.34,1854.43
93,201,2161.29
80,161,2012.5
95,333,3505.26
81.6,285.6,3500
28,26,928.57
41,49,1195.12
49.2,54,1097.56
62.4,67.7,1084.94
64,83.9,1310.94
67,82.4,1229.85
72,89.6,1244.44
52.6,49.2,935.36
50.7,84.9,1674.56
60.2,97.2,1614.62
59.8,92.4,1545.15
58.5,84.6,1446.15
69.8,126.4,1810.89
52.8,86,1628.79
71.4,121.2,1697.48
71.1,136.2,1915.61
72.7,190,2613.48
85.5,205.8,2407.02
85.3,132.9,1558.03
89,255.4,2869.66
80,162,2025
84,162,1928.57
85.9,170.7,1987.19
63.5,75.6,1190.55
97.7,236,2415.56
100.6,224.9,2235.59
108.2,219.2,2025.88
115.3,258.4,2241.11
111.8,241.3,2158.32
110.4,198.6,1798.91
110.8,221.8,2001.81
122.7,249.9,2036.67
124.64,247.8,1988.13
128.2,280.4,2187.21
115.9,212.9,1836.93
118.6,208,1753.79
105.1,179.6,1708.85
120.3,250.3,2080.63
106.99,174.82,1633.98
94.44,126.28,1337.15
58.13,78.24,1345.95
22.7,28,1233.48
107.4,209.2,1947.86
101,168.3,1666.34
78,99,1269.23
113.2,241.5,2133.39
146.73,376.24,2564.17
158.64,321.52,2026.73
117,288,2461.54
94,180,1914.89
150,421,2806.67
97.19,243.07,2500.98
53,41,773.58
66,66,1000
71.5,60,839.16
83.5,81.9,980.84
85.8,84.6,986.01
92.5,81.8,884.32
89.8,84.1,936.53
77.5,63.2,815.48
66.6,69,1036.04
80.4,99.2,1233.83
78.8,73.6,934.01
84.2,81.4,966.75
92.2,114.7,1244.03
82,45.5,554.88
98.9,130.1,1315.47
97,108.4,1117.53
100.8,133.3,1322.42
108,138.5,1282.41
108.1,134.1,1240.52
116.8,153.8,1316.78
104,139,1336.54
119,117,983.19
122.1,161.4,1321.87
92.9,104.7,1127.02
122.3,168.9,1381.03
121.9,165.5,1357.67
127.7,202,1581.83
132.9,227.7,1713.32
134.1,230.5,1718.87
122.8,211.2,1719.87
123.3,199.9,1621.25
135.9,261.4,1923.47
136.6,272,1991.22
145.2,274.6,1891.18
132.2,203.4,1538.58
135.9,238.5,1754.97
131.4,192.9,1468.04
145.3,249.6,1717.83
143.4,243.74,1699.72
141.98,200.17,1409.85
101.76,119.21,1171.48
57.7,60.1,1041.59
128.1,195.8,1528.49
142.7,203.9,1428.87
140.2,169.1,1206.13
130.5,199.5,1528.74
176.28,436.15,2474.19
192.59,434.62,2256.71
121,267,2206.61
88,161,1829.55
209,596,2851.67
175.31,424.07,2418.97
26,15,576.92
43,33,767.44
45.1,31.2,691.8
58.1,45.9,790.02
57.7,41.9,726.17
71.1,51.8,728.55
64.4,45.4,704.97
58.1,33,567.99
52.1,35.4,679.46
64.9,49.1,756.55
60.3,33.4,553.9
72.2,55.2,764.54
78.2,65.3,835.04
70.2,25.1,357.55
81.4,70.8,869.78
81.5,69.6,853.99
81.5,78.7,965.64
87.3,98.1,1123.71
73.1,48.6,664.84
77.8,61.7,793.06
59,59,1000
78,70,897.44
78.6,80.8,1027.99
77,78.4,1018.18
83,87.9,1059.04
74.4,73.2,983.87
78.9,84.9,1076.05
83.2,107.6,1293.27
78.4,107.9,1376.28
76.6,92.3,1204.96
79.3,93.8,1182.85
78.9,84.7,1073.51
82.7,90.2,1090.69
81.2,92.2,1135.47
70,55.5,792.86
66.4,73.7,1109.94
65.4,75.2,1149.85
70.5,78.9,1119.15
71.9,76.7,1066.76
70.78,71.84,1014.98
61.66,57.87,938.53
53.6,53.2,992.54
60.7,88.3,1454.7
68.3,97.1,1421.67
62.8,89.1,1418.79
67,103.7,1547.76
82.54,156.45,1895.44
85.23,151.52,1777.78
63,123,1952.38
45,79,1755.56
77,236,3064.94
77.79,210.5,2706
34,7,205.88
75,58,773.33
56.4,57.3,1015.96
94.5,77.4,819.05
91.7,67.1,731.73
116.1,86.2,742.46
108.9,56.8,521.58
106.8,37.9,354.87
95,47.1,495.79
112.5,71.6,636.44
105.8,59,557.66
125.3,88,702.31
127.5,100,784.31
106.8,45,421.35
131.3,129.6,987.05
129.6,95.1,733.8
129.6,105.5,814.04
128.2,138.7,1081.9
135.5,92.1,679.7
144.2,148.5,1029.82
142,133,936.62
185,164,886.49
125.3,113.4,905.03
106.3,93.5,879.59
155.2,185.2,1193.3
139.6,131.9,944.84
156.1,171.5,1098.65
162.3,199.7,1230.44
164,226.5,1381.1
164.9,209.3,1269.25
168.9,188.5,1116.05
162.7,190.7,1172.1
170,202.1,1188.82
169.8,217.7,1282.1
165.3,172.2,1041.74
168.1,213.1,1267.7
167.9,193,1149.49
170.5,204.4,1198.83
167.6,181.08,1080.43
169.49,173.44,1023.31
155.55,133.06,855.42
147,99.3,675.51
155.7,165.3,1061.66
155.7,158,1014.77
134.4,111.3,828.13
166.2,215.4,1296.03
156.88,383.75,2446.14
154.21,318.56,2065.75
199,683,3432.16
189,398,2105.82
195,560,2871.79
173.6,499.97,2880.01
14,1,71.43
24,11,458.33
17.6,5,284.09
24.7,16.5,668.02
23.5,17.8,757.45
27.7,12.6,454.87
29.4,14.5,493.2
26,8.3,319.23
23.7,11.6,489.45
28.1,17.3,615.66
25.5,14.2,556.86
34.2,19.1,558.48
38.1,28.2,740.16
29.3,11.3,385.67
35.8,23.9,667.6
36.8,26.2,711.96
33.3,20.6,618.62
40.4,32.9,814.36
43.3,27.3,630.48
46.5,38.8,834.41
47,37,787.23
52,39,750
42.4,27.5,648.58
39.1,31.3,800.51
60.4,56.1,928.81
55.1,44.2,802.18
60.1,51.3,853.58
65.5,68.3,1042.75
72.6,81.9,1128.1
74.5,75.8,1017.45
68.6,59.7,870.26
73.6,84.4,1146.74
74.3,69.8,939.43
86.4,72.9,843.75
84.7,60.9,719.01
89,72,808.99
87.4,57,652.17
90.7,76.6,844.54
88.19,67.2,761.99
87.48,65.3,746.46
88.55,67.56,762.96
85.8,54.7,637.53
86.2,75.9,880.51
87.4,80.4,919.91
84.6,73.2,865.25
110.3,128.3,1163.19
90.66,198.24,2186.63
93.77,212.23,2263.3
136,310,2279.41
109,231,2119.27
118,327,2771.19
101.8,266.16,2614.54
60,13,216.67
106,84,792.45
89,56.3,632.58
123.2,84.9,689.12
117.3,94,801.36
135.6,111.8,824.48
139.1,87.5,629.04
130.1,58.7,451.19
109.3,61.4,561.76
136.5,97.6,715.02
128.8,64.9,503.88
151.1,118.2,782.26
164.3,181,1101.64
137.4,55.3,402.47
171.2,167.9,980.72
166,123.3,742.77
166,143.5,864.46
180.2,157.9,876.25
167.7,115.9,691.12
186.1,192.4,1033.85
152,146,960.53
190,156,821.05
151.7,131.6,867.5
175.8,186.3,1059.73
193.1,205.2,1062.66
182.1,165.6,909.39
193.2,200.1,1035.71
200.8,213.2,1061.75
189.3,268.3,1417.33
185.4,241.6,1303.13
175.7,181.3,1031.87
189.7,256.1,1350.03
185.5,253.1,1364.42
186.4,209,1121.24
161.1,132,819.37
163.4,169.3,1036.11
160.3,197.5,1232.06
160,197.7,1235.62
157.56,173.89,1103.64
153.92,175.97,1143.26
141.99,124.81,879.01
127.8,88.5,692.49
137.9,147.8,1071.79
143.2,173.1,1208.8
125.4,119.1,949.76
135.2,202.2,1495.56
142.46,448.59,3148.88
146.54,479.99,3275.49
169,593,3508.88
132,390,2954.55
171,617,3608.19
156.8,538.45,3433.99
20,5,250
40,20,500
29.4,12,408.16
34.7,14.7,423.63
35.8,21.1,589.39
41.1,18.1,440.39
46,19.7,428.26
47.8,13.2,276.15
43.3,20.1,464.2
51.1,25.8,504.89
