WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha)
361,1690,4681.44
363,1700,4683.2
356,1513,4250
358,1538,4296.09
372,1591,4276.88
371,1643,4428.57
368,1525,4144.02
369,1629,4414.63
373,1613,4324.4
371,1524,4107.82
375,1659,4424
375,1847,4925.33
372,1682,4521.51
371,1865,5026.95
376,1513,4023.94
374,1684,4502.67
373,1816,4868.63
375,1791,4776
56.5,111,1964.6
57.3,91,1588.13
61.4,140,2280.13
68,140,2058.82
66,167,2530.3
67,128,1910.45
67,142,2119.4
73,140,1917.81
73,156,2136.99
73,169,2315.07
89.6,166,1852.68
93,209,2247.31
92,189,2054.35
95,266,2800
99,275,2777.78
101,280,2772.28
103,269,2611.65
106,311,2933.96
108,329,3046.3
109,359,3293.58
110,322,2927.27
109,396,3633.03
110,410,3727.27
110,406,3690.91
113,418,3699.12
111,417,3756.76
113,438,3876.11
118,463,3923.73
113,467,4132.74
116,442,3810.34
104,439,4221.15
102,348,3411.76
108,465,4305.56
111,523,4711.71
111,493,4441.44
114,538,4719.3
112,445,3973.21
112,496,4428.57
115,460,4000
111,483,4351.35
109,444,4073.39
111,506,4558.56
111,472,4252.25
111,457,4117.12
108,480,4444.44
110,542,4927.27
110,510,4636.36
111,548,4936.94
110,429,3900
110,469,4263.64
106,522,4924.53
108,523,4842.59
134.3,209.3,1558.45
151,263,1741.72
165.8,384,2316.04
170,399,2347.06
178,444,2494.38
192,441,2296.88
194,486,2505.15
201,472,2348.26
200,501,2505
203,498,2453.2
213.3,516,2419.13
210,519,2471.43
214,536,2504.67
218,629,2885.32
211,518,2454.98
218,672,3082.57
222,655,2950.45
225,722,3208.89
223,756,3390.13
225,834,3706.67
221,711,3217.19
222,823,3707.21
215,807,3753.49
221,810,3665.16
219,820,3744.29
211,810,3838.86
209,805,3851.67
225,923,4102.22
226,962,4256.64
236.6,931.86,3938.55
185.38,779.57,4205.25
191.77,685,3571.99
198.82,905.65,4555.13
203.87,990.88,4860.35
209.7,963.93,4596.71
210.31,982.64,4672.34
208.48,869.94,4172.77
214.75,936.71,4361.86
217.36,924.32,4252.48
213.92,948.83,4435.44
208.92,875,4188.21
210.92,941.08,4461.79
217.36,889.17,4090.77
215.14,927.76,4312.35
214.14,1005.28,4694.5
216.75,1102.07,5084.52
217.8,1006.02,4619.01
214.75,1063.31,4951.39
213.36,857.02,4016.78
218.58,986.48,4513.13
213.36,1037.14,4860.99
216.97,1095.85,5050.7
101.4,95.8,944.77
113,143,1265.49
122.3,186,1520.85
126,161,1277.78
131,192,1465.65
155,222,1432.26
155,292,1883.87
147,337,2292.52
141,292,2070.92
145,308,2124.14
148.1,272,1836.6
145,261,1800
151,285,1887.42
159,336,2113.21
156,319,2044.87
165,337,2042.42
170,340,2000
168,367,2184.52
166,351,2114.46
163,414,2539.88
171,398,2327.49
167,430,2574.85
161,455,2826.09
163,453,2779.14
163,466,2858.9
155,457,2948.39
156,457,2929.49
157,484,3082.8
152,482,3171.05
154.4,483.14,3129.15
153.62,518.43,3374.76
157.23,491,3122.81
164.18,591.35,3601.84
170.13,637.12,3744.9
169.3,611.07,3609.39
166.69,628.36,3769.63
163.52,570.06,3486.18
175.25,620.29,3539.46
174.64,614.68,3519.7
173.08,632.17,3652.47
170.08,634,3727.66
173.08,679.92,3928.36
183.64,660.83,3598.51
181.86,712.24,3916.42
182.86,796.72,4356.99
183.25,844.93,4610.8
180.2,777.98,4317.31
177.25,815.69,4601.92
179.64,649.98,3618.24
175.42,734.52,4187.21
176.64,751.86,4256.45
173.03,770.15,4450.96
37,35.2,951.35
47.3,45,951.37
53.3,50.7,951.22
54.6,51.9,950.55
60.8,115,1891.45
61.1,119,1947.63
61.3,94,1533.44
62.9,118,1875.99
61.8,114,1844.66
62.4,129,2067.31
62.8,122,1942.68
62.8,143,2277.07
67.1,163,2429.21
70,177,2528.57
72,158,2194.44
76,163,2144.74
75,208,2773.33
77,209,2714.29
73,204,2794.52
72,244,3388.89
76,216,2842.11
75,223,2973.33
77,241,3129.87
82,226,2756.1
82,262,3195.12
83,277,3337.35
83,282,3397.59
84,290,3452.38
84,287,3416.67
84,284,3380.95
82,293,3573.17
83,296,3566.27
86,325,3779.07
87,350,4022.99
86,312,3627.91
88,347,3943.18
86,305,3546.51
87,307,3528.74
89,312,3505.62
83,303,3650.6
82,312.5,3810.98
86,351.5,4087.21
88.5,316,3570.62
91.5,396,4327.87
91.5,367.5,4016.39
90,421.5,4683.33
90,400.5,4450
92.5,421,4551.35
91,365,4010.99
89,390,4382.02
93,445.5,4790.32
92,450,4891.3
163.1,403,2470.88
171.4,536,3127.19
212.6,570,2681.09
230,696,3026.09
226,741,3278.76
247,818,3311.74
253,739,2920.95
241,512,2124.48
234,702,3000
247,697,2821.86
258,815,3158.91
256,845,3300.78
260,898,3453.85
267,917,3434.46
265,838,3162.26
265,897,3384.91
267,940,3520.6
271,909,3354.24
268,1054,3932.84
267,1085,4063.67
268,924,3447.76
259,1082,4177.61
261,1123,4302.68
267,1080,4044.94
269,1148,4267.66
266,1131,4251.88
276.2,1176.4,4259.23
278.6,1232.8,4424.98
274.6,1248.45,4546.43
270.6,1135.25,4195.31
266.6,1248.85,4684.36
270.2,1136.15,4204.85
269.75,1221.15,4526.97
271.9,1378.45,5069.69
270.9,1399.1,5164.64
269.75,1366.7,5066.54
266.75,1198.85,4494.28
269.75,1275.05,4726.78
270.75,1308.55,4833.06
269.6,1283.35,4760.2
269.75,1210.2,4486.38
270.75,1302.35,4810.16
271.75,1193.4,4391.54
271.75,1262.85,4647.1
269.75,1338.55,4962.19
269.75,1448.35,5369.23
268.75,1308,4866.98
266.6,1391.05,5217.74
265.6,1180,4442.77
263.6,1231.1,4670.33
262.6,1338.4,5096.73
264.75,1364.1,5152.41
334.5,453,1354.26
356.8,713,1998.32
394.3,738,1871.67
395,765,1936.71
427.1,879,2058.07
419.9,951,2264.82
447.6,1017.4,2273.01
432.6,948.8,2193.25
406.6,1032.5,2539.35
485.9,1090.8,2244.91
527.5,1245.7,2361.52
528.9,1338.4,2530.54
560.3,1514.6,2703.19
569.7,1587,2785.68
578.2,1668.3,2885.33
606.5,1909.4,3148.23
643.6,2084.1,3238.19
667.2,2136.5,3202.19
666.4,2180.9,3272.66
663.2,2292.4,3456.57
678.1,2071.8,3055.3
661.7,2312.7,3495.09
669.6,2410.5,3599.91
693.3,2556.2,3687
691.56,2553.18,3691.91
677.86,2538.8,3745.32
662.18,2419.56,3653.93
697.04,2725.36,3909.9
690.82,2815.24,4075.21
688.96,2614.34,3794.62
698,2949.8,4226.07
724.66,2853.6,3937.85
716.4,3147.6,4393.63
721.06,3398.56,4713.28
727.28,3340.14,4592.65
731.54,3209.82,4387.76
719.76,2963.32,4117.09
740.42,3082.28,4162.88
745.64,3109.34,4170.03
748.6,3076.38,4109.51
754.56,3113.62,4126.4
760.56,3479.6,4575.05
762.78,3625,4752.35
764.26,3271.4,4280.48
756.64,3631.18,4799.09
763.26,3902.62,5113.09
764.48,3673.8,4805.62
770.74,3949.94,5124.87
763.26,3461.66,4535.36
767.74,3520.76,4585.88
763.96,3920.8,5132.21
768.48,3933.9,5119.07
166,246,1481.93
220.8,429,1942.93
259.6,591,2276.58
280,638,2278.57
283.6,573,2020.45
276.8,701,2532.51
286.1,563.6,1969.94
258.2,525.2,2034.08
215.5,496.5,2303.94
260.5,563.2,2162
297.9,673.3,2260.15
304.5,715.6,2350.08
315.9,831.4,2631.85
336.3,897,2667.26
333.8,925.7,2773.22
353.5,1057.6,2991.8
390.4,1120.9,2871.16
408.8,1001.5,2449.85
395.6,1144.1,2892.06
401.8,1282.6,3192.14
426.9,1111.2,2602.95
418.3,1295.3,3096.58
429.4,1383.5,3221.94
446.7,1494.8,3346.32
450.44,1518.82,3371.86
452.14,1606.2,3552.44
460.82,1638.44,3555.49
474.96,1828.64,3850.09
477.18,1870.76,3920.45
485.04,1787.66,3685.59
488,1990.2,4078.28
499.34,1790.4,3585.53
443.6,1893.4,4268.26
520.94,2419.44,4644.37
528.72,2336.86,4419.84
530.46,2160.18,4072.28
525.24,2214.68,4216.51
533.58,2158.72,4045.73
534.36,2231.66,4176.32
533.4,2095.62,3928.8
538.44,2298.38,4268.59
544.44,2399.4,4407.1
549.22,2567,4673.9
550.74,2317.6,4208.16
549.36,2621.82,4772.5
551.74,2780.38,5039.29
555.52,2604.2,4687.86
554.26,2784.06,5023.02
549.74,2547.34,4633.72
553.26,2577.24,4658.28
554.04,2892.2,5220.2
556.52,2920.1,5247.07
237.5,312,1313.68
272.6,456,1672.78
323.9,652,2012.97
342,729,2131.58
274,587,2142.34
297,776,2612.79
290,696,2400
280,693,2475
268,620,2313.43
282,735,2606.38
308,743,2412.34
306,793,2591.5
321,979,3049.84
331,981,2963.75
331,1015,3066.47
342,1088,3181.29
359,1160,3231.2
369,1219,3303.52
366,1328,3628.42
370,1448,3913.51
377,1240,3289.12
377,1508,4000
381,1585,4160.1
385,1551,4028.57
392,1662,4239.8
390,1661,4258.97
424.04,1759.48,4149.33
397.72,1740.16,4375.34
397.72,1745.04,4387.61
381.72,1675.4,4389.08
398.72,1836.92,4607.04
408.04,1760.88,4315.46
399.8,1761.08,4404.9
400.88,1937.44,4832.97
399.88,1955.72,4890.77
398.8,1923.44,4823.07
400.8,1835.32,4579.14
402.8,1745.36,4333.07
403.8,1815.36,4495.69
402.72,1706.52,4237.49
402.8,1782.84,4426.12
401.8,1896.32,4719.56
405.8,1939.08,4778.41
407.8,1855.52,4550.07
408.8,2077.36,5081.6
408.8,2227.92,5449.9
405.8,2075.2,5113.85
405.72,2197.16,5415.46
404.72,1920.2,4744.51
407.72,1969.52,4830.57
406.72,2249.88,5531.77
408.8,2244.32,5490.02
137.1,211,1539.02
159.4,287,1800.5
191.7,478,2493.48
204,474.9,2327.94
259,520,2007.72
242,500,2066.12
251,487,1940.24
250,549,2196
227,500,2202.64
254,594,2338.58
273.5,664,2427.79
270,729,2700
288,848,2944.44
295,867,2938.98
286,753,2632.87
301,906,3009.97
314,957,3047.77
314,1013,3226.11
309,1094,3540.45
315,1249,3965.08
321,1089,3392.52
311,1187,3816.72
321,1249,3890.97
330,1267,3839.39
330,1322,4006.06
337,1386,4112.76
335.76,1298.12,3866.21
327.68,1375.04,4196.29
325.68,1354.51,4159.02
315.68,1265.35,4008.33
315.68,1437.23,4552.81
320.76,1303.97,4065.25
323.45,1452.77,4491.48
330.22,1608.11,4869.81
327.22,1525.18,4661.02
330.45,1631.86,4938.3
330.45,1475.83,4466.12
331.45,1377.59,4156.25
331.45,1518.09,4580.15
334.68,1417.13,4234.28
334.45,1490.46,4456.45
329.45,1558.83,4731.61
331.95,1530.52,4610.69
326.95,1504.63,4602.02
327.95,1575.59,4804.36
328.45,1767.23,5380.51
326.45,1578.3,4834.74
322.18,1595.79,4953.1
322.68,1384.8,4291.56
323.68,1492.38,4610.66
320.68,1646.22,5133.53
322.45,1696.58,5261.53
135.7,188,1385.41
160.3,274,1709.3
163,238,1460.12
197,389,1974.62
212.4,418,1967.98
212.7,326,1532.68
249,414.1,1663.05
226.5,327.1,1444.15
189.2,313.7,1658.03
227.6,475,2086.99
255.7,506.7,1981.62
257.5,551.8,2142.91
290.4,724.9,2496.21
272.7,649.7,2382.47
282.5,717.3,2539.12
319,789.2,2473.98
373.7,995.7,2664.44
406.4,1017.9,2504.68
375.2,983.8,2622.07
374.9,1222.8,3261.67
412.9,1330.5,3222.33
392.3,1098,2798.88
438.9,1589.4,3621.33
446.2,1537.1,3444.87
464.2,1729.87,3726.54
467.81,1800.13,3847.99
520.24,2061.04,3961.69
541.03,2084.11,3852.12
548.08,2125.21,3877.59
560.06,2199.73,3927.7
584.52,2348.53,4017.84
597.74,2348.91,3929.64
639.84,2604.7,4070.86
694.48,2940.15,4233.57
727.24,2995.54,4119.05
698.61,2848.26,4077.02
686.37,2728.75,3975.64
701.01,2860.76,4080.89
717.45,2832.65,3948.2
717.01,2618.9,3652.55
747.37,3331.17,4457.18
803.1,3323.49,4138.32
795.32,3847.58,4837.76
801.39,3293.31,4109.52
811.29,3968.1,4891.1
832.89,4305.5,5169.33
828.41,3756.47,4534.54
818.57,4042.26,4938.2
879.49,3913.53,4449.77
843.91,3870.94,4586.91
847.16,4169.38,4921.61
829.58,4131.43,4980.16
99.4,151,1519.11
127,213,1677.17
126,218,1730.16
139,286,2057.55
155.5,242,1556.27
169.9,279,1642.14
162.3,288,1774.49
148.3,186,1254.21
138.1,233,1687.18
158.2,272,1719.34
182.8,334,1827.13
180.9,366,2023.22
192.3,380,1976.08
197,407,2065.99
195,398,2041.03
194,424,2185.57
222,543,2445.95
224,535,2388.39
203,457,2251.23
195,524,2687.18
214,476,2224.3
206,501,2432.04
219,617,2817.35
208,547,2629.81
210,585,2785.71
180,587,3261.11
207.2,664,3204.63
224,721,3218.75
223.9,770,3439.04
224.6,794,3535.17
225,845,3755.56
239.8,877,3657.21
258,873,3383.72
260.5,1031,3957.77
270.3,1020,3773.58
252.2,937,3715.31
245.2,957,3902.94
257.1,970,3772.85
251.25,933,3713.43
242.1,827,3415.94
250.7,884,3526.13
253.1,1046,4132.75
247.2,1103,4461.97
257.8,1073,4162.14
252.3,1140,4518.43
253.9,1227,4832.61
243.45,1084,4452.66
249,1114,4473.9
259,851,3285.71
257.8,1028,3987.59
255.2,1127,4416.14
243.7,1105,4534.26
53,77,1452.83
57,104,1824.56
62.2,113.5,1824.76
68.5,125,1824.82
77,145,1883.12
79,162,2050.63
108,186,1722.22
105,168,1600
96,163,1697.92
102,202,1980.39
108,217,2009.26
111,218,1963.96
121,284,2347.11
118,262,2220.34
122,321,2631.15
135,297,2200
152,335,2203.95
160,374,2337.5
164,408,2487.8
163,487,2987.73
167,450,2694.61
169,457,2704.14
180,633,3516.67
214.4,684.8,3194.03
182.27,631.84,3466.51
187.06,653.34,3492.6
200.11,730.62,3651.02
203.84,754.78,3702.73
205.61,766.5,3727.9
201.5,744.72,3695.95
206.8,797.48,3856.21
203.84,733.6,3598.97
209.62,853.52,4071.75
234.58,998.24,4255.4
234.11,1014.84,4334.85
237.17,1015.42,4281.47
234.25,990.36,4227.75
238.15,948.96,3984.75
238.27,987.88,4146.11
235.72,950.68,4033.06
244.21,1032.36,4227.41
244.56,1031.24,4216.75
246.14,1179.76,4793.01
246.11,1072.96,4359.75
247.77,1132.3,4570
247.76,1305.74,5270.22
246.99,1067.08,4320.27
248.32,1137.84,4582.15
250.5,932.92,3724.23
248.3,1089.46,4387.64
248.14,1210.98,4880.23
247.65,1241.38,5012.68
7.8,14,1794.87
10.6,16,1509.43
11.4,22,1929.82
15.8,34,2151.9
21.9,39,1780.82
25.2,56,2222.22
50.7,93.9,1852.07
43.8,79.9,1824.2
41.4,73.3,1770.53
47.6,97,2037.82
63.1,133.3,2112.52
61.2,131.2,2143.79
77.8,214.1,2751.93
84.3,169.3,2008.3
78.5,188.7,2403.82
79.1,181.8,2298.36
100.3,244.3,2435.69
93.6,200.1,2137.82
74.8,166.2,2221.93
71.1,206.2,2900.14
81.1,229.5,2829.84
87.7,254,2896.24
86.1,294.6,3421.6
125.9,406.3,3227.16
80.19,290.41,3621.61
87.58,319.5,3647.89
97.94,357.34,3648.6
96.32,358.44,3721.54
95.27,364.43,3825.23
89.32,346.86,3883.43
98.89,393.76,3981.84
106.01,412.86,3894.61
120.4,472.52,3924.58
136.11,521.77,3833.47
138.64,517.82,3735.1
121.43,453.44,3734.17
123,461.85,3754.85
123.77,473.63,3826.85
116.32,436.17,3749.86
108.36,419.74,3873.43
127.21,507.92,3992.86
135.58,503.86,3716.27
126.32,555.38,4396.51
128.4,513.09,3996.15
136.05,630.31,4633.1
126.93,586.3,4619.19
128.83,588.67,4569.24
133.58,628.88,4707.89
156.01,608.94,3903.21
147.86,610.68,4130.12
144.08,671.29,4659.28
139.03,617.32,4440.22
94.8,92,970.46
121.7,151,1240.76
130.4,166.1,1273.77
139,258,1856.12
169,283,1674.56
165,286,1733.33
162.4,239,1471.67
161.4,225,1394.05
158.8,252,1586.9
162.6,292,1795.82
105.5,173,1639.81
96.7,174,1799.38
108.4,207,1909.59
109,185,1697.25
112,231,2062.5
124,256,2064.52
118,255,2161.02
138,288,2086.96
123,220,1788.62
129,335,2596.9
132,302,2287.88
126,282,2238.1
134,424,3164.18
216,546,2527.78
150.6,452,3001.33
139.6,400,2865.33
167.9,487,2900.54
156.9,450,2868.07
145,423,2917.24
143.7,450,3131.52
141.9,487,3431.99
150,477,3180
157,579,3687.9
158.4,627,3958.33
157.3,549,3490.15
161.6,587,3632.43
161.1,566,3513.35
172.4,559,3242.46
172.09,551,3201.81
172.3,611,3546.14
169.9,647,3808.12
172.4,647,3752.9
183.9,693,3768.35
188.4,739,3922.51
186.5,734,3935.66
187.8,936,4984.03
189.09,794,4199.06
188,842,4478.72
194,713,3675.26
196.2,846,4311.93
193.2,860,4451.35
194.2,898,4624.1
221,340,1538.46
240,436,1816.67
273,549,2010.99
318,740,2327.04
357,910,2549.02
382.3,952,2490.19
378.4,701,1852.54
363.3,694,1910.27
351.9,676,1921
373.3,826,2212.7
398.9,946,2371.52
409.2,983,2402.25
431.9,1096,2537.62
438,1040,2374.43
435,1013,2328.74
451,1187,2631.93
473,1283,2712.47
489,1362,2785.28
484,1496,3090.91
499,1686,3378.76
493,1500,3042.6
484,1537,3175.62
484,1801,3721.07
749.6,2577.2,3438.1
491.73,1889.16,3841.86
478.54,1854.66,3875.7
486.99,1835.38,3768.86
495.46,1836.22,3706.12
485.09,1809.5,3730.25
474.5,1741.28,3669.68
473.6,1889.52,3989.73
466.86,1667.4,3571.49
478.38,1984.48,4148.33
494.32,2186.76,4423.79
483.79,2230.16,4609.79
493.33,2225.58,4511.3
497.95,2172.64,4363.19
502.85,2077.04,4130.52
511.31,2127.12,4160.11
506.88,2214.32,4368.55
499.29,2236.64,4479.61
506.74,2313.76,4565.95
516.06,2404.24,4658.86
513.09,2319.04,4519.72
517.23,2353.7,4550.57
512.54,2840.26,5541.52
512.65,2389.92,4661.93
512.68,2499.16,4874.7
514.5,2074.08,4031.25
514.4,2394.54,4655.03
527.36,2543.02,4822.17
515.45,2536.62,4921.16
161,242,1503.11
170,290,1705.88
185,316,1708.11
187,381,2037.43
198.2,418,2108.98
201.1,416,2068.62
221.2,403,1821.88
193.6,248,1280.99
204.4,356,1741.68
217.1,394,1814.83
234.9,420,1787.99
244,448,1836.07
259.8,511,1966.9
252,570,2261.9
255,623,2443.14
260,547,2103.85
281,689,2451.96
280,699,2496.43
280,687,2453.57
267,796,2981.27
282,767,2719.86
266,732,2751.88
278,840,3021.58
290,881.6,3040
271.11,857.72,3163.75
265.2,881.37,3323.37
283.02,972.62,3436.59
276.06,1012.45,3667.57
282.36,1038.36,3677.5
277.53,1014.41,3655.19
286.29,1064.71,3719.04
292.75,1011.23,3454.24
324.76,1200.78,3697.44
338.11,1345.08,3978.27
343.42,1341.64,3906.66
335.56,1370.3,4083.67
319.23,1311.4,4107.98
320.12,1224.61,3825.45
310,1175.18,3790.9
320.33,1211.36,3781.6
338.42,1419.91,4195.69
345.22,1366.65,3958.81
346.45,1577.04,4551.95
352.52,1477.6,4191.56
352.86,1619.59,4589.83
369.48,1918.2,5191.63
347.5,1436.86,4134.8
348.85,1535.86,4402.64
374.5,1363.53,3640.93
367.13,1511.38,4116.74
348.87,1802.33,5166.25
360.89,1733.25,4802.67
133.1,117.1,879.79
147.9,164.4,1111.56
144,147.1,1021.53
150,199,1326.67
110.3,213.2,1932.91
172.2,256.7,1490.71
174.8,251,1435.93
168.8,146.8,869.67
158.8,197.9,1246.22
157.4,246,1562.9
166.8,225,1348.92
161.4,264.8,1640.64
190.7,330.8,1734.66
188.5,302.6,1605.31
189.5,339.7,1792.61
183.8,319.8,1739.93
177.9,388.4,2183.25
190.9,420,2200.1
196.9,432.4,2196.04
195.3,471.8,2415.77
193.7,421.6,2176.56
177.5,407.1,2293.52
176.7,461.8,2613.47
231.8,605.5,2612.17
170.44,391.69,2298.11
171.09,475.11,2776.96
187.22,441.06,2355.84
186.46,450.78,2417.57
176.51,467.83,2650.44
167.13,441.94,2644.29
172.72,492.77,2853
172.17,474.61,2756.64
173.39,470.63,2714.29
172.28,513.9,2982.93
167.21,470.92,2816.34
158.38,452.91,2859.64
156.58,428.36,2735.73
163.07,449.82,2758.45
167.28,427.37,2554.82
154.32,394.86,2558.71
151.03,421.81,2792.89
152.1,426.7,2805.39
159.58,464.48,2910.64
161.46,474.8,2940.67
157.99,454.26,2875.25
156.17,514.9,3297.05
153.33,498.57,3251.61
153.12,497.07,3246.28
163.14,335.75,2058.05
158.87,513.21,3230.38
158.99,572.66,3601.9
156.61,588.92,3760.46
130.9,172,1313.98
142.1,213.5,1502.46
134.8,162.7,1206.97
138.8,224.5,1617.44
154.4,251.2,1626.94
156.2,287.4,1839.95
163.2,261,1599.26
161.8,181.5,1121.76
146.9,239.4,1629.68
143.7,268.6,1869.17
132.4,243.4,1838.37
140.3,274.9,1959.37
164.6,290.3,1763.67
165.1,340.1,2059.96
172,405.7,2358.72
156.5,360.2,2301.6
159.6,384.6,2409.77
157.9,378.7,2398.35
162.5,413.4,2544
161.4,456.3,2827.14
160.6,410.9,2558.53
151.7,399.2,2631.51
157.3,460.3,2926.26
150.5,431.1,2864.45
142.17,415.25,2920.8
138.86,425.4,3063.52
145.25,430.98,2967.16
146.84,456.77,3110.66
141.67,434.28,3065.43
133.55,405.76,3038.26
136.06,441.03,3241.44
129.53,424.9,3280.32
133.33,403.06,3023.03
136.64,478.76,3503.81
135.56,473.17,3490.48
131.73,489.19,3713.58
115.85,388.21,3350.97
125.02,433.33,3466.09
129.3,426.39,3297.68
126.1,424.06,3362.89
121.35,392.85,3237.33
120,395.3,3294.17
129.64,425.09,3279
138.57,476.81,3440.93
135.98,459.17,3376.75
134.63,529.33,3931.74
131.45,485.13,3690.6
121.63,452.83,3723.01
128.14,370.84,2894.02
136.38,513.21,3763.09
129.4,543.35,4199.1
135.26,569.23,4208.48
181.7,241.1,1326.91
210.3,319.8,1520.68
205.6,314.7,1530.64
207.2,336.8,1625.48
227.6,394,1731.11
230.2,407.6,1770.63
228.5,463.1,2026.7
226,274.9,1216.37
234.3,335.2,1430.64
230.3,410.1,1780.72
238.1,442.5,1858.46
227.7,414,1818.18
246.8,510.5,2068.48
254.4,516.3,2029.48
255.6,595.7,2330.59
247.7,581.9,2349.21
254.9,642.4,2520.2
254.3,619.7,2436.89
251.9,868.2,3446.61
251.5,805.8,3203.98
248,686.3,2767.34
239.5,626.8,2617.12
240,737.6,3073.33
237.1,741.3,3126.53
222.24,719.22,3236.23
222.7,732.54,3289.39
229.21,732.27,3194.8
229.72,796.49,3467.29
224.96,793.65,3527.96
214.28,742.19,3463.56
215.56,762.38,3536.72
247.03,855.35,3462.46
242.7,804.39,3314.35
252.96,925.95,3660.48
260.22,906.93,3485.28
251.78,912.4,3623.77
242.2,867.93,3583.57
260.79,927.49,3556.46
243.66,846.51,3474.19
240.33,810.67,3373.15
237.81,877.31,3689.09
236.72,827.67,3496.36
241.63,899.24,3721.51
244.3,880.05,3602.27
232.38,940.46,4047.15
231.57,979.94,4231.74
197.58,898.26,4546.2
222.91,972.08,4360.94
214.56,661.69,3084.02
216.44,846.34,3910.32
219.19,964.37,4399.81
219.37,932.17,4249.36
123.5,167.2,1353.85
173.5,312.4,1800.58
176.5,245.7,1392.07
178.8,259,1448.55
199,396.2,1990.95
201.3,419.5,2083.95
207.7,438.1,2109.29
194.6,212.5,1091.98
192.4,335.7,1744.8
199.6,352.8,1767.54
218.4,399.9,1831.04
209.9,419.8,2000
223.1,452.7,2029.13
236.7,501,2116.6
216.8,524.7,2420.2
229.52,541.2,2357.96
245,629.6,2569.8
250.2,636.4,2543.57
248,408.7,1647.98
234.4,729.7,3113.05
240.4,660.5,2747.5
246.5,668.3,2711.16
246,791.1,3215.85
223.2,703.4,3151.43
235.52,718.63,3051.25
230.25,738.4,3206.92
227.67,811.05,3562.34
233.76,785.11,3358.55
232.53,820.89,3530.25
232.05,798.55,3441.36
233.63,765.87,3278.15
201.8,716.18,3549.05
202.93,723.23,3563.92
208.41,780.95,3747.16
214.82,801.7,3731.92
206.16,788.95,3826.92
211.64,822.21,3884.89
221.52,782.81,3533.81
220.33,754.78,3425.63
218.54,746.85,3417.46
218.91,817.15,3732.85
219.58,779.56,3550.29
219.76,865.12,3936.71
222.22,819.28,3686.87
225.6,891.36,3950.99
223.58,941.05,4208.99
53.66,242.18,4513.63
216.94,899.48,4146.14
220.02,602.07,2736.36
222.76,855.31,3839.56
220.53,940.78,4266.06
215.96,968.16,4482.97
124.6,228.6,1834.67
167.9,264.7,1576.53
160.6,285.9,1780.2
169.7,327,1926.93
205,422.2,2059.51
202.3,409.8,2025.7
222,421.9,1900.45
192.3,232.3,1208.01
171.1,316,1846.87
168.7,313.3,1857.14
205.8,379.6,1844.51
199.7,405.8,2032.05
212.3,493.3,2323.6
220.3,405.6,1841.13
223.6,501.6,2243.29
198.3,472.5,2382.75
222.57,576.4,2589.75
244.8,584.4,2387.25
242,596.6,2465.29
198.5,523.9,2639.29
221.8,575.8,2596.03
227.6,581.5,2554.92
235.84,661.4,2804.44
233.6,613.7,2627.14
220.95,599.93,2715.23
223.24,627.17,2809.4
227.65,618.57,2717.2
239.4,581.15,2427.53
241.36,738.25,3058.71
245.73,726.72,2957.39
248.77,798.17,3208.47
274.38,898.85,3275.93
277.21,908.62,3277.73
290.06,928.87,3202.34
310.87,1052.01,3384.08
310.33,996.31,3210.49
306.45,1031.54,3366.1
312.8,1020.7,3263.11
310.98,913.13,2936.3
307.25,938.09,3053.18
309.51,881.22,2847.15
307.36,975.07,3172.4
308.32,1003.09,3253.41
311.61,959.94,3080.58
310.34,1054.14,3396.73
302.27,1104.79,3654.98
153.7,551.16,3585.95
304.52,1120.18,3678.51
305.4,738.51,2418.17
292.48,975.22,3334.31
296.82,1188.1,4002.79
306.2,1273.52,4159.11
102.9,131.7,1279.88
118,192.7,1633.05
127.2,168.6,1325.47
131,187.1,1428.24
150.3,264.3,1758.48
154.7,247.7,1601.16
162.2,274.9,1694.82
150,159.3,1062
133.1,174.8,1313.3
136.5,207,1516.48
157,245.3,1562.42
152.1,266.5,1752.14
160.1,353.6,2208.62
167.25,306.7,1833.78
170.2,325,1909.52
157,326.3,2078.34
180.85,451.8,2498.2
192.5,519,2696.1
191.5,442.1,2308.62
162.8,396.8,2437.35
188.6,467.6,2479.32
186.6,475.8,2549.84
196.9,542,2752.67
179.8,433.1,2408.79
161.63,425.53,2632.74
151.22,448.7,2967.2
182.13,542.47,2978.48
183.68,484.85,2639.65
186.09,589.37,3167.12
179.04,563.86,3149.35
176.89,571.73,3232.12
162.71,540.94,3324.57
179.99,540.53,3003.11
195.01,658.5,3376.75
209.17,713.51,3411.15
200.8,627.9,3126.99
188.94,663.8,3513.28
198.35,655.43,3304.41
188.89,589.55,3121.13
188.55,621.92,3298.44
192.25,541.04,2814.25
191.31,699.77,3657.78
191.44,731.44,3820.73
192.15,619.83,3225.76
194.72,730.03,3749.13
196.3,723.89,3687.67
99.5,368.84,3706.93
194.36,677.55,3486.06
194.21,407.85,2100.05
178.83,617.51,3453.06
194.29,797.35,4104
200.42,704.48,3515
82.7,101.6,1228.54
103.7,135.7,1308.58
106.1,154.1,1452.4
118.9,214.6,1804.88
129,167.3,1296.9
126.8,198.9,1568.61
144.7,201.2,1390.46
130.2,154,1182.8
122.7,163.1,1329.26
119.8,200.1,1670.28
135.4,240,1772.53
141.8,244,1720.73
139.6,324.8,2326.65
138.1,200.1,1448.95
129.4,223.4,1726.43
